id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3801.17,0.0,0.7694,,CHG_00009,21.46,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00009,0.5689,2022-05-17,2026-05-31,ensemble,2299.61,2321.06,0.7694,0.3,0.5378,MEDIUM,0.18512698836573815,0.413,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,900.28,0.0,0.5957,,CHG_00010,-629.85,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00010,0.5607,2022-05-17,2026-05-31,ensemble,2774.85,2145.0,0.5957,0.3,0.4683,MEDIUM,0.2423371981476498,0.247,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2000.61,0.0,0.6374,,CHG_00011,-480.63,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00011,0.5678,2022-05-17,2026-05-31,ensemble,2395.95,1915.32,0.6374,0.3,0.485,MEDIUM,-0.03300432202639985,0.855,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1200.37,0.0,0.6677,,CHG_00013,-511.17,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00013,0.5657,2022-05-17,2026-05-31,ensemble,1991.75,1480.58,0.6677,0.3,0.4971,MEDIUM,-1.066914280167751,0.013,COLD_95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,900.28,0.0,0.5931,,CHG_00015,1684.04,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00015,0.5533,2022-05-17,2026-05-31,ensemble,2133.04,3817.07,0.5931,0.3,0.4672,MEDIUM,-1.161213766955765,0.005,COLD_99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2300.71,0.0,0.7194,,CHG_00017,-593.32,DEMOLITION,"건물과 미교차 + mean_change_score=0.61 >= 0.6 - 철거 추정 (T1 건물 유무 미확인, 이미지 변화 강도 기반 추정)",,CHG_00017,0.6113,2022-05-17,2026-05-31,ensemble,2483.33,1890.01,0.7194,1.0,0.5878,MEDIUM,-0.9828143445564148,0.017,COLD_95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1800.55,0.0,0.7141,,CHG_00020,-552.06,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00020,0.5826,2022-05-17,2026-05-31,ensemble,2338.28,1786.22,0.7141,0.3,0.5156,MEDIUM,-0.7363097372546092,0.069,COLD_90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1200.37,0.0,0.6177,,CHG_00021,-603.97,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00021,0.5743,2022-05-17,2026-05-31,ensemble,2536.08,1932.11,0.6177,0.3,0.4771,MEDIUM,0.044697713301384195,0.671,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1600.49,0.0,0.5726,,CHG_00022,1916.27,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00022,0.5404,2022-05-17,2026-05-31,ensemble,3147.4,5063.67,0.5726,0.3,0.459,MEDIUM,-0.43820467331806334,0.297,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3401.05,0.0,0.6172,,CHG_00026,-191.93,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00026,0.5546,2022-05-17,2026-05-31,ensemble,2108.29,1916.36,0.6172,0.3,0.4769,MEDIUM,-0.48451990797943373,0.237,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,900.28,0.0,0.587,,CHG_00027,-271.93,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00027,0.5437,2022-05-17,2026-05-31,ensemble,1904.3,1632.37,0.587,0.3,0.4648,MEDIUM,-0.6302807666134149,0.119,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2900.89,0.0,0.7101,,CHG_00033,-374.02,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00033,0.5777,2022-05-17,2026-05-31,ensemble,2142.8,1768.78,0.7101,0.3,0.514,MEDIUM,-0.6102061954338625,0.119,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4001.23,0.0,0.669,,CHG_00034,-552.0,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00034,0.5651,2022-05-17,2026-05-31,ensemble,2206.01,1654.01,0.669,0.3,0.4976,MEDIUM,0.44294382515440406,0.047,HOT_95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,900.28,0.0,0.6333,,CHG_00036,-328.96,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00036,0.5692,2022-05-17,2026-05-31,ensemble,1827.67,1498.7,0.6333,0.3,0.4833,MEDIUM,0.010111962493193486,0.757,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1800.55,0.0,0.7236,,CHG_00037,241.37,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00037,0.5795,2022-05-17,2026-05-31,ensemble,1588.93,1830.3,0.7236,0.3,0.5194,MEDIUM,-0.7688092162312062,0.053,COLD_90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1500.46,0.0,0.622,,CHG_00038,416.11,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00038,0.5643,2022-05-17,2026-05-31,ensemble,2530.36,2946.47,0.622,0.3,0.4788,MEDIUM,-0.342236169064775,0.447,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1200.37,0.0,0.6974,,CHG_00040,133.64,OTHER_CHANGE,"건물과 미교차 + mean_change_score=0.62 >= 0.6 이지만 brightness_delta=+133.6(T2가 더 밝음)로 철거(어두워짐/무변화 예상) 방향과 불일치 - 건물 미등록 신축 등 다른 원인 가능성, 재확인 필요",,CHG_00040,0.6212,2022-05-17,2026-05-31,ensemble,1728.22,1861.86,0.6974,0.3,0.509,MEDIUM,0.3236554379835286,0.173,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,900.28,0.0,0.6307,,CHG_00043,-289.74,OTHER_CHANGE,"건물과 미교차, 변화강도/면적 기준 미달 - 토지조성/기타 추정",,CHG_00043,0.5815,2022-05-17,2026-05-31,ensemble,2093.96,1804.22,0.6307,0.3,0.4823,MEDIUM,-0.10764649200118,0.967,NOT_SIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5701.75,0.0,0.7798,,CHG_00047,-64.5,DEMOLITION,"건물과 미교차 + mean_change_score=0.61 >= 0.6 - 철거 추정 (T1 건물 유무 미확인, 이미지 변화 강도 기반 추정)",,CHG_00047,0.6128,2022-05-17,2026-05-31,ensemble,2190.81,2126.32,0.7798,1.0,0.6119,MEDIUM,0.1892995320289242,0.469,NOT_SIG
