방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
11,HIGH,CHG_00029,NEW_BUILDING,3,3,521.33,4128111300104700002,190008.98,559294.76,126.886811,37.633209,POST_BASELINE_UNVERIFIED,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
12,HIGH,CHG_00028,NEW_BUILDING,2,2,147.16,4128111300104700001;4128111300104700008,190070.17,559335.05,126.887503,37.633572,POST_BASELINE_UNVERIFIED,B_MODERATE,0,2,"신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 밝기 변화 방향 불일치 2건 - 자동판정 신뢰도 낮음, 육안 확인 필수 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선",,,,,
13,HIGH,CHG_00024,NEW_BUILDING,1,1,117.37,4128111300105030013,189394.17,559565.15,126.879841,37.635638,POST_BASELINE_UNVERIFIED,B_MODERATE,0,1,"신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 밝기 변화 방향 불일치 1건 - 자동판정 신뢰도 낮음, 육안 확인 필수 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선",,,,,
14,HIGH,CHG_00015,NEW_BUILDING,1,1,174.92,4128111200102260000,189797.93,560197.69,126.884407,37.641342,POST_BASELINE_UNVERIFIED,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
15,HIGH,CHG_00013,EXPANSION_OR_RECONSTRUCTION,10,10,639.65,4128111200101590021;4128111200101590022;4128111200101590023;4128111200101590024;4128111200101590025;4128111200101590028;4128111200101990001;4128111200200420001,190198.25,560304.61,126.888941,37.642309,POST_BASELINE_UNVERIFIED,B_MODERATE,6,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선 / 후보 10건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
16,HIGH,CHG_00010,EXPANSION_OR_RECONSTRUCTION,4,4,179.92,4128111200100560018;4128111200100560019;4128111200100560065;4128111200100560146,190981.57,560485.27,126.897814,37.643945,PRE_BASELINE,NONE,4,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
17,HIGH,CHG_00008,EXPANSION_OR_RECONSTRUCTION,3,3,1722.49,4128111200100770001;4128111200100770008;4128111200100770019,190978.37,560713.93,126.897775,37.646005,PRE_BASELINE,NONE,3,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
18,HIGH,CHG_00005,EXPANSION_OR_RECONSTRUCTION,3,3,472.41,4128111200100440002;4128111200100440004;4128111200100460010,191084.41,560773.84,126.898976,37.646546,PRE_BASELINE,NONE,3,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
19,HIGH,CHG_00007,EXPANSION_OR_RECONSTRUCTION,2,2,617.07,4128111200100450000;4128111200100450001,191108.39,560707.65,126.899249,37.64595,PRE_BASELINE,B_MODERATE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
20,HIGH,CHG_00003,EXPANSION_OR_RECONSTRUCTION,1,1,8169.53,4128111200103730000,191076.18,561005.68,126.89888,37.648635,PRE_BASELINE,NONE,1,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
21,HIGH,CHG_00041,NEW_BUILDING,1,1,49.81,4128111300106930003,189363.95,558599.83,126.879513,37.62694,POST_BASELINE_UNVERIFIED,B_MODERATE,0,0,신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
22,HIGH,CHG_00051,EXPANSION_OR_RECONSTRUCTION,6,6,343.28,4128111300102620009;4128111300102630001;4128111300102640001;4128111300102640003;4128111300102650002,189825.93,558215.1,126.884752,37.623479,POST_BASELINE_UNVERIFIED,B_MODERATE,3,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선 / 후보 6건이 한 현장에 몰려 있음 - 1회 방문으로 일괄 확인 가능,,,,,
23,HIGH,CHG_00061,EXPANSION_OR_RECONSTRUCTION,4,4,202.02,4128111300108270009;4128111300108280003;4128111300108280006;4128111300108330001,188938.39,557858.27,126.874703,37.620254,PRE_BASELINE,B_MODERATE,4,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
24,HIGH,CHG_00063,NEW_BUILDING,1,1,231.43,4128111300108300000,188916.94,557706.69,126.874463,37.618888,POST_BASELINE_UNVERIFIED,B_MODERATE,0,1,"신축 여부 및 착공·사용승인 이력 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 밝기 변화 방향 불일치 1건 - 자동판정 신뢰도 낮음, 육안 확인 필수 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선",,,,,
25,HIGH,CHG_00070,EXPANSION_OR_RECONSTRUCTION,2,2,398.29,4128111300100590013,190375.28,556849.42,126.890993,37.61118,UNKNOWN,B_MODERATE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
26,HIGH,CHG_00066,EXPANSION_OR_RECONSTRUCTION,2,2,245.48,4128111300100400004,190661.39,557322.76,126.894227,37.615448,PRE_BASELINE,NONE,2,0,증축·개축 범위와 허가 범위 일치 여부 확인,,,,,
27,MEDIUM,CHG_00068,OTHER_CHANGE,1,0,7100.0,,190444.99,557119.29,126.891779,37.613613,POST_BASELINE_UNVERIFIED,NONE,0,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
28,MEDIUM,CHG_00069,EXPANSION_OR_RECONSTRUCTION,1,1,50.93,4128111300201320002,190447.46,557025.81,126.891808,37.61277,POST_BASELINE_UNVERIFIED,C_WEAK,0,0,증축·개축 범위와 허가 범위 일치 여부 확인 / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
29,MEDIUM,CHG_00059,DEMOLITION,1,1,2400.0,,190333.45,557914.79,126.890505,37.620779,POST_BASELINE_UNVERIFIED,NONE,0,0,철거 여부 및 멸실신고 이력 확인 (근거가 약한 판정이므로 존치 여부부터 확인) / 건축물대장 미매칭 - 무허가 또는 미등록 여부 확인 필요 / 보상 기준일 이후 변화로 추정되며 행정근거 미확인 - 보상 실무 확인 우선,,,,,
