id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,brightness_delta,change_type,classification_note,directional_consistency_flag,change_id,mean_change_score,t1_date,t2_date,method,brightness_t1,brightness_t2,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107802935,412810028379,4128111300100020019002643,경기도,고양시 덕양구,용두동,용두로,176,76,,,0,,,1.0,0.0,176-76,41281,3192055,113,4128111300100020019,126.8991913677686,37.6204006648795,,,,,,,,,,False,,1.0,66.11,66.11,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107802933,412810028378,4128111300100020018002647,경기도,고양시 덕양구,용두동,용두로,176,74,,,0,,,1.0,0.0,176-74,41281,3192055,113,4128111300100020018,126.89919411609655,37.62046896237645,,,,,,,,,,False,,1.0,134.27,134.27,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.448159528176436,0.003,HOT_99
lt_c_spbd.4107798672,412810032777,4128111300100280001003229,경기도,고양시 덕양구,용두동,용두로,124,6,,,0,,,1.0,0.0,124-6,41281,3192055,113,4128111300100280003,126.89414305894019,37.620304878150534,,단독주택,49.68,49.68,1.0,0.0, , , ,True,road_address,0.6,55.7,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.523013572626026,0.363,NOT_SIG
lt_c_spbd.4107802932,412810028377,4128111300100020015002597,경기도,고양시 덕양구,용두동,용두로,176,72,,,0,,,1.0,0.0,176-72,41281,3192055,113,4128111300100020015,126.89882440811054,37.62055545560035,,,,,,,,,,False,,1.0,129.12,129.12,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,1.306262705927395,0.003,HOT_99
lt_c_spbd.4107802931,412810079347,4128111300100020014000001,경기도,고양시 덕양구,용두동,용두로,176,54,,,0,,,1.0,0.0,176-54,41281,3192055,113,4128111300100020014,126.89849473004814,37.62137636972153,,,,,,,,,,False,,1.0,256.96,0.15,0.0006,1.0,False,CHG_00059,-68.52,EXPANSION_OR_RECONSTRUCTION,"change_ratio=0.00 - 부분 변화, 증축/개축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 증축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,0.7002,HIGH,0.9418178989502067,0.003,HOT_99
lt_c_spbd.4107802930,412810079344,4128111300100020013000001,경기도,고양시 덕양구,용두동,용두로,176,42,,,0,,,1.0,0.0,176-42,41281,3192055,113,4128111300100020013,126.89850537368147,37.62175467673351,,,,,,,,,,False,,1.0,68.51,68.51,1.0,1.0,False,CHG_00059,-68.52,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-68.5(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,1.0,1.0,1.0,HIGH,0.9418178989502067,0.005,HOT_99
lt_c_spbd.4107802929,412810028384,4128111300100020077016812,경기도,고양시 덕양구,용두동,용두로,176,26,,,0,,,1.0,0.0,176-26,41281,3192055,113,4128111300100020077,126.8980231480083,37.621766942745026,,,,,,,,,,False,,1.0,120.7,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.23,LOW,0.9418178989502067,0.003,HOT_99
lt_c_spbd.4107782619,412810016366,4128111300103040000009803,경기도,고양시 덕양구,용두동,화랑로286번길,158,0,,,0,,,1.0,0.0,158,41281,4376360,113,4128111300103040000,126.88701209567762,37.621574951489336,,동물및식물관련시설,298.1,298.1,1.0,0.0,20040511,20040524,20040910,True,pnu,0.6,227.92,0.0,0.0,,True,,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,,,,0.0,0.3,0.15,LOW,-0.7829053174457324,0.067,COLD_90
lt_c_spbd.4107782618,412810016365,4128111300103000000016890,경기도,고양시 덕양구,용두동,화랑로286번길,112,0,,,0,,,1.0,0.0,112,41281,4376360,113,4128111300103000000,126.8850772173231,37.62214581067224,,,,,,,,,,False,,1.0,149.46,149.46,1.0,0.6054,False,CHG_00050,58.49,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",True,,,,,,,,0.6054,1.0,0.8422,HIGH,-0.8300464898807037,0.009,COLD_99
lt_c_spbd.4107803442,412810081561,4128111300107880000000001,경기도,고양시 덕양구,용두동,화랑로,309,1,,,0,,,1.0,0.0,309-1,41281,3192097,113,4128111300107880000,126.88012376884254,37.62310296595878,,,,,,,,,,False,,1.0,199.75,152.2,0.7619,0.6023,False,CHG_00049,-61.7,NEW_BUILDING,"change_ratio=0.76 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱) - brightness_delta=-61.7(T2가 더 어두움)로 신축 기대 방향과 불일치, 재확인 권장",False,,,,,,,,0.6023,1.0,0.7695,HIGH,-0.39574187315048653,0.167,NOT_SIG
