id,pk,bd_mgt_sn,sido,sigungu,gu,rd_nm,bld_s,bld_e,buld_nm,buld_nm_dc,buld_se_cd,bul_eng_nm,zip_cd,gro_flo_co,und_flo_co,buld_no,sig_cd,rn_cd,emd_cd,pnu,xpos,ypos,poi_chk,mainPurpsCdNm,archArea,totArea,grndFlrCnt,ugrndFlrCnt,pmsDay,stcnsDay,useAprDay,has_register_match,match_method,administrative_uncertainty,building_area_m2,change_area_m2,change_ratio,max_change_score,near_change,site_id,change_type,classification_note,change_id,mean_change_score,t1_date,t2_date,method,confidence,building_relevance,priority_score,inspection_priority,gi_zscore,gi_pvalue,gi_class
lt_c_spbd.4107782622,412810078131,4128111300101200000000001,경기도,고양시 덕양구,용두동,화랑로286번길,236,0,,,0,,,1.0,0.0,236,41281,4376360,113,4128111300101200000,126.89050768288895,37.61975159331895,,,,,,,,,,False,,1.0,261.74,251.31,0.9602,1.0,False,CHG_00065,NEW_BUILDING,"change_ratio=0.96 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,0.9881,HIGH,0.3219512931214812,0.529,NOT_SIG
lt_c_spbd.4107806613,412810137246,4128111300101370000000003,경기도,고양시 덕양구,용두동,덕양로,222,1,,,0,,,1.0,0.0,222-1,41281,3351196,113,4128111300101370000,126.88920978102593,37.62080493701993,,,,,,,,,,False,,1.0,255.09,255.09,1.0,0.976,False,CHG_00053,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,0.976,1.0,0.9904,HIGH,0.11636516639368324,0.963,NOT_SIG
lt_c_spbd.4107803134,412810082533,4128111300103400000000001,경기도,고양시 덕양구,용두동,용두로,96,30,,,0,,,1.0,0.0,96-30,41281,3192055,113,4128111300103400000,126.88955070195772,37.62091702719233,,,,,,,,,,False,,1.0,276.41,205.38,0.743,0.976,False,CHG_00053,NEW_BUILDING,"change_ratio=0.74 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,0.976,1.0,0.9133,HIGH,0.11636516639368324,0.941,NOT_SIG
lt_c_spbd.4107798918,412810078128,4128111300101080001000002,경기도,고양시 덕양구,용두동,봉산로,307,38,,,0,,,1.0,0.0,307-38,41281,3192030,113,4128111300101080001,126.89247524982,37.619656707929046,,,,,,,,,,False,,1.0,77.91,77.91,1.0,1.0,False,CHG_00065,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,1.0,HIGH,0.34505525783946306,0.491,NOT_SIG
lt_c_spbd.4107798921,412810078127,4128111300101080001000001,경기도,고양시 덕양구,용두동,봉산로,307,38,,,0,,,1.0,0.0,307-38,41281,3192030,113,4128111300101080001,126.89256185025485,37.61975351070327,,,,,,,,,,False,,1.0,108.32,90.69,0.8372,1.0,False,CHG_00065,NEW_BUILDING,"change_ratio=0.84 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,1.0,1.0,0.9512,HIGH,0.34505525783946306,0.463,NOT_SIG
lt_c_spbd.4107798681,412810032775,4128111300100280001003221,경기도,고양시 덕양구,용두동,용두로,124,14,,,0,,,1.0,0.0,124-14,41281,3192055,113,4128111300100280001,126.89426135613171,37.62034829070812,,단독주택,57.47,57.47,1.0,0.0, , ,19851110,True,pnu,0.6,51.25,4.02,0.0784,0.9406,False,CHG_00051,EXPANSION_OR_RECONSTRUCTION,사용승인일=1985-11-10로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.9406,1.0,0.6198,MEDIUM,0.015203738956196353,0.877,NOT_SIG
lt_c_spbd.4107802939,412810028386,4128111300100020097009436,경기도,고양시 덕양구,용두동,용두로,176,79,,,0,,,1.0,0.0,176-79,41281,3192055,113,4128111300100040006,126.89955416534093,37.6201055040778,,,,,,,,,,False,,1.0,37.91,0.0,0.0,,True,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,0.0,0.3,0.23,LOW,-0.11406533670693371,0.799,NOT_SIG
lt_c_spbd.4107802940,412810028385,4128111300100020093002646,경기도,고양시 덕양구,용두동,용두로,176,80,,,0,,,1.0,0.0,176-80,41281,3192055,113,4128111300100020025,126.89924136483296,37.620213787292336,,,,,,,,,,False,,1.0,85.24,0.0,0.0,,True,,OTHER_CHANGE,"건물 본체 미교차, 버퍼 내 변화만 존재",,,,,,0.0,0.3,0.23,LOW,0.012375570017083228,0.521,NOT_SIG
lt_c_spbd.4107802936,412810028381,4128111300100020024002645,경기도,고양시 덕양구,용두동,용두로,176,78,,,0,,,1.0,0.0,176-78,41281,3192055,113,4128111300100020024,126.89919729108885,37.620290114085385,,제2종근린생활시설,60.54,131.1,1.0,1.0,19930311, ,19931207,True,pnu,0.6,86.69,74.67,0.8613,0.9141,False,CHG_00052,EXPANSION_OR_RECONSTRUCTION,사용승인일=1993-12-07로 T1 이전부터 존재 - 증축/개축 확정(건축물대장 근거),,,,,,0.9141,1.0,0.844,HIGH,0.012375570017083228,0.887,NOT_SIG
lt_c_spbd.4107802934,412810028380,4128111300100020020034231,경기도,고양시 덕양구,용두동,용두로,176,76,,,0,,,1.0,0.0,176-76,41281,3192055,113,4128111300100020019,126.89912007051726,37.62037729516953,,,,,,,,,,False,,1.0,54.63,54.63,1.0,0.9141,False,CHG_00052,NEW_BUILDING,"change_ratio=1.00 >= 0.5 - 신축 추정 (건축물대장 미매칭, change_ratio 휴리스틱)",,,,,,0.9141,1.0,0.9656,HIGH,0.012375570017083228,0.745,NOT_SIG
