방문순서,우선순위,현장ID,주요변화유형,후보건수,건물수,변화면적(m2),관련필지PNU,X_EPSG5186,Y_EPSG5186,경도,위도,보상기준일판정,무허가의심등급,대장매칭건수,방향불일치건수,현장확인사항,현장판정(기입),사진촬영(기입),조사자(기입),조사일자(기입),비고(기입)
42,LOW,OID_239,OTHER_CHANGE,1,0,0.0,4159510500103110088,204017.72,514770.87,127.045275,37.232087,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
43,LOW,OID_235,OTHER_CHANGE,1,0,0.0,4159510500103110076,204146.51,514543.88,127.046725,37.230041,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
44,LOW,OID_201,OTHER_CHANGE,1,0,0.0,4159510400104030000,203810.62,514144.92,127.042938,37.226448,STRADDLES_BASELINE,B_MODERATE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
45,LOW,OID_209,OTHER_CHANGE,1,0,0.0,4159510400104120000,203717.5,514136.36,127.041889,37.226371,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
46,LOW,OID_121,OTHER_CHANGE,1,0,0.0,4159510400102580003,204014.18,513932.32,127.045231,37.224531,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
47,LOW,OID_128,OTHER_CHANGE,1,0,0.0,4159510400102530003,204041.45,513964.71,127.045538,37.224823,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
48,LOW,OID_58,OTHER_CHANGE,1,0,0.0,4159510400102640000,204043.12,513900.13,127.045556,37.224241,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
49,LOW,OID_126,OTHER_CHANGE,1,0,0.0,4159510500106940000,204533.36,513990.11,127.051081,37.225049,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
50,LOW,OID_124,OTHER_CHANGE,1,0,0.0,4159510500106940001,204556.62,513944.78,127.051343,37.224641,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
51,LOW,OID_37,OTHER_CHANGE,1,0,0.0,4159510500106600004,204757.04,513863.85,127.0536,37.223911,STRADDLES_BASELINE,NONE,1,0,토지 형질변경·야적·가설물 등 지장물 발생 여부 확인,,,,,
